employee_id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,dept,salary
1,0.34,0.67,5,96,2,1,0,0,IT,low
2,0.4,0.85,5,99,2,1,0,0,support,high
3,0.47,0.9,3,101,2,1,0,0,marketing,medium
4,0.79,0.78,3,101,2,1,0,0,product_mng,medium
5,0.55,0.64,3,101,2,1,0,0,sales,medium
6,0.52,0.76,4,106,2,1,0,0,product_mng,low
7,0.67,0.48,6,107,2,1,0,0,hr,low
8,0.62,0.55,3,108,2,1,0,0,sales,medium
9,0.79,0.97,6,113,2,1,0,0,product_mng,medium
10,0.82,0.97,3,115,2,1,0,0,support,low
11,0.36,0.65,3,116,2,1,0,0,sales,low
12,0.61,0.65,2,117,2,1,0,0,sales,medium
13,0.99,0.72,3,119,2,1,0,0,marketing,low
14,0.2,0.72,5,123,2,1,0,0,technical,low
15,0.53,0.71,3,125,2,1,0,0,sales,low
16,0.42,0.46,3,128,2,1,0,0,RandD,low
17,0.18,0.6,3,130,2,1,0,0,support,medium
18,0.83,0.67,5,132,2,1,0,0,support,medium
19,0.81,0.8,5,132,2,1,0,0,management,high
20,0.81,0.8,5,132,2,1,0,0,management,high
21,0.72,0.71,3,132,2,1,0,0,technical,low
22,0.44,0.45,3,133,2,1,0,0,support,medium
23,0.5,0.82,3,133,2,1,0,0,product_mng,low
24,0.86,0.6,5,134,2,1,0,0,support,low
25,0.73,0.88,5,134,2,1,0,0,support,low
26,0.98,0.8,4,134,2,1,0,0,support,medium
27,0.98,0.77,3,134,2,1,0,0,sales,low
28,0.91,0.59,3,134,2,1,0,0,technical,medium
29,0.79,0.52,3,134,2,1,0,0,sales,medium
30,0.6,0.62,4,135,2,1,0,0,sales,medium
31,0.99,0.64,4,135,2,1,0,0,sales,low
32,0.89,0.5,4,136,2,1,0,0,technical,low
33,0.34,0.55,3,136,2,1,0,0,sales,medium
34,0.97,0.93,5,137,2,1,0,0,support,low
35,0.97,0.93,5,137,2,1,0,0,support,low
36,0.69,0.82,4,137,2,1,0,0,technical,low
37,0.56,0.86,4,137,2,1,0,0,RandD,high
38,0.76,0.49,3,138,2,1,0,0,technical,medium
39,0.52,0.82,3,138,2,1,0,0,support,medium
40,0.68,0.53,3,138,2,1,0,0,sales,low
41,0.68,0.53,3,138,2,1,0,0,sales,low
42,0.82,0.84,3,139,2,1,0,0,sales,low
43,0.98,0.56,3,139,2,1,0,0,support,low
44,0.99,0.62,4,140,2,1,0,0,support,low
45,0.51,0.58,4,140,2,1,0,0,product_mng,low
46,0.51,0.58,4,140,2,1,0,0,product_mng,low
47,0.87,0.89,3,140,2,1,0,0,RandD,low
48,0.84,0.51,6,141,2,1,0,0,sales,low
49,0.96,0.93,5,141,2,1,0,0,sales,medium
50,0.59,0.61,4,141,2,1,0,0,hr,medium
51,0.67,0.94,4,141,2,1,0,0,support,low
52,0.67,0.67,4,141,2,1,0,0,sales,low
53,0.67,0.67,4,141,2,1,0,0,sales,low
54,0.35,0.69,3,141,2,1,0,0,support,low
55,0.7,0.86,3,141,2,1,0,0,sales,medium
56,0.56,1,3,141,2,1,0,0,product_mng,low
57,0.94,0.73,5,142,2,1,0,0,IT,high
58,0.95,0.65,5,142,2,1,0,0,sales,low
59,0.71,0.76,4,142,2,1,0,0,support,low
60,0.7,0.92,4,142,2,1,0,0,support,medium
61,0.78,0.82,4,142,2,1,0,0,sales,low
62,0.82,0.59,5,143,2,1,0,0,technical,high
63,0.45,0.76,4,143,2,1,0,0,support,medium
64,0.64,0.61,4,143,2,1,0,0,support,high
65,0.79,0.84,4,144,2,1,0,0,marketing,medium
66,0.73,0.79,4,145,2,1,0,0,support,low
67,0.51,0.69,3,145,2,1,0,0,RandD,medium
68,0.63,0.54,3,145,2,1,0,0,technical,low
69,0.72,0.51,3,146,2,1,0,0,sales,low
70,0.52,0.49,3,146,2,1,0,0,accounting,medium
71,0.48,0.84,3,146,2,1,0,0,sales,medium
72,0.4,0.42,3,146,2,1,0,0,hr,medium
73,0.86,0.64,4,147,2,1,0,0,product_mng,high
74,0.67,0.82,5,148,2,1,0,0,technical,medium
75,0.76,0.73,4,148,2,1,0,0,hr,low
76,0.49,0.61,3,148,2,1,0,0,RandD,low
77,0.62,0.58,3,148,2,1,0,0,technical,low
78,0.53,0.41,2,148,2,1,0,0,sales,medium
79,0.49,0.4,2,148,2,1,0,1,management,high
80,0.49,0.4,2,148,2,1,0,1,management,high
81,0.62,0.75,3,149,2,1,0,0,technical,medium
82,0.83,0.52,2,149,2,1,0,0,sales,low
83,0.83,0.52,2,149,2,1,0,0,sales,low
